id,0me,host_id,host_0me,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month,calculated_host_listings_count,,last_review
2768,Huge Brooklyn Room in Bushwick,9864136,Anthony,Brooklyn,Bushwick,40.68587,-73.91435,Private room,55,1,4,365,0.19,26,,5/20/2018
2769,Charming Bedroom Bright and Cozy A2,20559017,Yohan,Manhattan,East Harlem,40.78627,-73.94316,Private room,55,30,4,339,0.07,9,,8/27/2018
2770,Sound Bath Sanctuary II Manhattan,7217937,Joule,Manhattan,Inwood,40.8686,-73.92594,Private room,45,2,6,64,0.5,2,,6/17/2019
2771,"Spacious 1 Bedroom in Vibrant Harlem, Manhattan",4278354,Demarius,Manhattan,Harlem,40.80927,-73.9427,Private room,61,1,4,0,0.11,1,,10/9/2017
2772,Lg Quiet Artist Home -Ditmas Park -,2236848,Liz,Brooklyn,Flatbush,40.64699,-73.96307,Entire home/apt,50,24,0,0,0,1,,0
2773,Versatile private room in Harlem/Hamilton Heights!,31616043,Edward,Manhattan,Harlem,40.82377,-73.94981,Private room,65,4,42,10,1.34,1,,6/18/2019
2774,"Private 1 BR in 4 BR apartment, by L Train",32545798,Sasha,Brooklyn,Williamsburg,40.71443,-73.96154,Private room,45,1,4,0,0.13,5,,6/24/2017
2775,Manhattan Private Room15min=TimesSQ,7580038,Jack Andrew,Manhattan,Harlem,40.82546,-73.94629,Private room,39,4,33,292,0.57,3,,6/4/2019
2776,Artistic Private BR in Upper West Side 107,238321374,Eyal,Manhattan,Upper West Side,40.79971,-73.96075,Private room,60,30,0,364,0,32,,0
2777,"Private Room In Remodeled SoHo 3 Br, 1 Ba",244197139,Brooke,Manhattan,Nolita,40.72158,-73.9941,Private room,62,30,0,188,0,5,,0
2778,Quiet roomy space,48582770,Kyron,Manhattan,Inwood,40.86227,-73.92943,Private room,60,5,1,0,0.02,1,,12/30/2015
2779,Cozy Spacious Queens Private Room #1,273354185,Lee & Luffy,Bronx,Castle Hill,40.8154,-73.84657,Private room,38,3,0,177,0,7,,0
2780,"Room with own living room, 1 stop from Manhattan",25476420,Laura,Brooklyn,Fort Greene,40.69438,-73.9712,Private room,51,12,0,44,0,1,,0
2781,Private room for sublet,68556398,Alice,Brooklyn,Bushwick,40.69285,-73.92703,Private room,65,12,0,0,0,1,,0
2782,"Beautiful, large and sunny bedroom",40138709,Dani,Brooklyn,Bedford-Stuyvesant,40.68847,-73.95634,Private room,32,1,0,0,0,1,,0
2783,"☀️Private, cozy & quiet room in Inwood Manhattan☀️",18217011,Zhoe,Manhattan,Inwood,40.86857,-73.91577,Private room,60,4,95,323,3.65,1,,7/1/2019
2784,"Huge 1 BR Apt close to A,B,C,D &1 trains",44630169,Stephen,Manhattan,Harlem,40.82725,-73.9453,Entire home/apt,68,2,9,0,0.29,1,,6/12/2017
2785,"Room with View, close to Central Park & Rockfeller",47577509,Jennifer,Manhattan,Roosevelt Island,40.76322,-73.94899,Private room,50,28,0,0,0,1,,0
2786,LARGE CENTRAL & COZY BEDROOM,64205687,Letty,Manhattan,Hell's Kitchen,40.76297,-73.98888,Private room,69,4,126,163,3.81,1,,6/15/2019
2787,The Haven 2beds,11757212,Jasmine,Brooklyn,Bushwick,40.6982,-73.92852,Private room,69,1,159,280,2.89,4,,6/24/2019
2788,1st Fl Comfortable Room in Manhatan,43330303,Cristian,Manhattan,Washington Heights,40.85369,-73.93187,Private room,68,3,8,160,0.2,2,,6/17/2019
2789,法拉盛中心公寓楼高层,123646786,Zheng,Queens,Flushing,40.75575,-73.83261,Private room,60,2,45,45,1.77,2,,5/6/2019
2790,Economy private room great location to Manhattan,92493393,Eddie & Lois,Staten Island,West Brighton,40.63302,-74.11396,Private room,55,2,64,348,2.04,5,,6/7/2019
2791,Beautiful bright  room Near JFK & J Train#2,107272884,Lynn L,Queens,Richmond Hill,40.69584,-73.84727,Private room,40,1,59,354,2.52,4,,6/8/2019
2792,Emergency sleeping for backpacking or Couchsurfer,38483415,Florentino,Manhattan,East Harlem,40.80084,-73.94514,Shared room,35,1,9,358,3.86,4,,6/25/2019
2793,Studio for the Summer,6568865,Adam,Queens,Forest Hills,40.72385,-73.85124,Entire home/apt,69,30,0,99,0,1,,0
2794,Sanctuary Quiet Room in Apartment,19107278,Jaime,Brooklyn,Bushwick,40.70033,-73.91197,Private room,50,5,0,0,0,2,,0
2795,Room in cool apartment with cool people,132383053,Chezky,Brooklyn,Bedford-Stuyvesant,40.6928,-73.94525,Private room,55,1,45,0,5.31,1,,6/29/2019
2796,旅途中的家,66574216,Mabel,Queens,Flushing,40.76564,-73.82043,Private room,65,1,122,86,3.16,1,,6/24/2019
2797,"Sunny, Clean, Nice bedroom available in Bushwick",29096,Jo0than,Brooklyn,Bushwick,40.70677,-73.92043,Private room,65,3,91,294,3.5,1,,6/23/2019
2798,Nice Place in The Bronx!!,163047410,Erick,Bronx,Longwood,40.81961,-73.90019,Entire home/apt,40,5,45,266,2.51,1,,6/23/2019
2799,Masterful bedroom & private bathroom in Astoria,24555919,David,Queens,Long Island City,40.76322,-73.93047,Private room,47,3,0,0,0,1,,0
2800,"Cozy, private room in Morningside Heights",87680800,Mahnoor,Manhattan,Morningside Heights,40.81368,-73.95919,Private room,50,1,0,0,0,1,,0
2801,private spacious sunny bedroom,3696460,Radium,Brooklyn,Kensington,40.63381,-73.9714,Private room,50,30,10,205,0.13,1,,11/30/2016
2802,Beautiful overnight bed by Central park,209386156,Abraham,Manhattan,East Harlem,40.79861,-73.94116,Shared room,49,2,62,3,5.81,9,,6/30/2019
2803,Comfy New York City Launching Pad!!,733370,Tim,Queens,Astoria,40.77115,-73.92275,Private room,69,40,23,207,0.27,1,,7/1/2016
2804,Nice extra room in Bushwick,1164515,Chris,Brooklyn,Bushwick,40.70332,-73.92766,Private room,38,2,13,141,0.93,2,,5/31/2019
2805,Dreamy belltower room in huge loft,30112106,John,Brooklyn,Bushwick,40.70033,-73.93964,Private room,45,6,13,0,0.25,1,,6/23/2019
2806,Bright room with full size bed.,52059111,Daniel,Brooklyn,Prospect-Lefferts Gardens,40.65961,-73.9592,Private room,50,1,1,0,0.04,1,,3/6/2017
2807,Cozy private room available in a great location,12157737,Dushyant,Brooklyn,Crown Heights,40.67343,-73.96291,Private room,38,3,0,0,0,1,,0
2808,Serene large private room in stylish Brooklyn apt,1409262,Sarah,Brooklyn,Flatbush,40.6417,-73.95251,Private room,55,2,2,287,0.19,6,,10/5/2018
2809,Spend a Night or Seven with a Living NYC Artist!,248404100,Ligel,Bronx,Morris Heights,40.84615,-73.91546,Private room,35,1,25,241,7.08,1,,7/7/2019
2810,Bright loft style room in Bed-Stuy,42786873,Geoffrey,Brooklyn,Bedford-Stuyvesant,40.6948,-73.94161,Private room,45,1,2,0,0.04,1,,11/2/2015
2811,Bohemian Brownstone,70431576,Hypatia,Brooklyn,Bedford-Stuyvesant,40.68515,-73.93255,Entire home/apt,64,2,7,6,0.92,1,,1/30/2019
2812,Nyc Beach Getaway(20 mins from airport),159382205,Rhonda,Queens,Arverne,40.59291,-73.78708,Shared room,39,1,0,43,0,2,,0
2813,Travel Themed Room at Great Location,137264725,Gulcin,Manhattan,Chi0town,40.71391,-73.99162,Private room,60,1,101,257,4.13,4,,6/21/2019
2814,Private Room in Crown Heights,91182678,David,Brooklyn,Crown Heights,40.67413,-73.9398,Private room,42,2,10,10,0.64,1,,7/23/2018
2815,Cozy Home in the suburbs,140665873,Rehat,Queens,Jamaica Estates,40.71797,-73.78478,Private room,50,1,3,179,3,1,,6/30/2019
2816,Bushwick Room & 2 Awesome Roomies,56112494,Shannon,Brooklyn,Bushwick,40.6887,-73.90598,Private room,65,2,0,0,0,1,,0
2817,"Free Cleaning & WiFi, Young Professio0l Roommates",155297713,Marie & Tyler,Brooklyn,Bushwick,40.70466,-73.92553,Private room,35,30,1,4,0.12,3,,10/31/2018
2818,Awesome Apartment in Lower East Side,855089,Shawn,Manhattan,Lower East Side,40.71327,-73.99019,Private room,60,30,0,0,0,1,,0
2819,Cozy with Great location !!,43719073,Nora,Brooklyn,Sheepshead Bay,40.6,-73.95612,Shared room,45,1,126,342,2.94,5,,7/1/2019
2820,"Private room Greenpoint, Brooklyn NY",19019393,Ja0,Brooklyn,Greenpoint,40.72615,-73.94592,Private room,49,3,0,0,0,1,,0
2821,"Private Room Very Near L train, Bushwick",1093220,Chavisa,Brooklyn,Bushwick,40.70278,-73.92673,Private room,45,15,21,88,0.29,3,,1/15/2019
2822,Williamsburg Bedroom in a Beautiful  Home,5278391,Ashley,Brooklyn,Williamsburg,40.71706,-73.94091,Private room,60,2,3,1,0.34,2,,11/2/2018
2823,Very quite and convenient location.,38604449,Pasang,Queens,Woodside,40.75563,-73.90493,Private room,50,2,1,262,0.51,2,,5/11/2019
2824,Comfy bed in Cozy Home - GRAND ARMY PLAZA,80777352,Mary,Brooklyn,Prospect Heights,40.67403,-73.96798,Private room,48,2,131,333,3.88,1,,6/1/2019
2825,One block from subway: bed for traveler,201015598,Anchor,Brooklyn,Bedford-Stuyvesant,40.67745,-73.90958,Shared room,24,1,14,89,1.65,17,,6/16/2019
2826,Large/comfy/beautiful BR near ABCD Manhattan..!!!,29003805,Akemi,Manhattan,Harlem,40.82753,-73.94602,Private room,60,3,18,0,1.17,2,,7/1/2019
2827,2部屋でのｼｪｱ 10畳 駅から徒歩3分 ﾌﾞﾙｯｸﾘﾝの大人気ｴﾘｱ:ｳｨﾘｱﾑｽﾞﾊﾞｰｸﾞから3駅,19303369,Hiroki,Brooklyn,Bedford-Stuyvesant,40.68833,-73.95055,Private room,28,30,0,54,0,37,,0
2828,!!! Beautiful private room with backyard.,2092314,Valentin,Brooklyn,East Flatbush,40.6392,-73.94732,Private room,32,30,1,124,0.04,7,,7/30/2017
2829,Private Room/Single Bed,10014644,Myrta,Brooklyn,Park Slope,40.66775,-73.98151,Private room,60,3,18,0,0.36,2,,5/24/2019
2830,Private Room in Brooklyn (E.Williamsburg),74896042,Ago0,Brooklyn,Williamsburg,40.70811,-73.9326,Private room,45,4,3,0,0.12,1,,6/4/2017
2831,Hell's Kitchen Living Room Retreat,145072632,Andrea,Manhattan,Hell's Kitchen,40.75973,-73.98815,Shared room,65,2,13,5,1.34,2,,6/23/2019
2832,Brooklyn Apartment,168569105,Maka,Brooklyn,Bedford-Stuyvesant,40.69037,-73.92694,Private room,60,9,1,83,0.33,1,,4/9/2019
2833,Private bedroom in Crown Heights!,38557313,Charlötte,Brooklyn,Crown Heights,40.67295,-73.95395,Private room,31,5,1,0,0.03,1,,5/31/2016
2834,Warm and cozy box style apt in Bed- Stuy!,45440805,Asia,Brooklyn,Bedford-Stuyvesant,40.69238,-73.93989,Private room,37,10,1,0,0.05,1,,10/20/2017
2835,Private Room/ 2BR Apt. Bedstuy/ Brooklyn,44458662,Melanie,Brooklyn,Bedford-Stuyvesant,40.68725,-73.93068,Private room,40,5,2,0,0.08,1,,7/20/2017
2836,Clean and Comfortable Room near Columbia,55377720,Dan,Manhattan,Morningside Heights,40.81233,-73.95717,Private room,69,3,0,0,0,1,,0
2837,Eclectic NY Apartment 15 minutes to LGA & JFK,143555322,Shuvo,Queens,Jamaica Hills,40.71062,-73.80145,Private room,50,1,4,0,0.17,1,,8/18/2017
2838,"Room in Brooklyn, 20 min from Manh",2052361,Katya,Brooklyn,Prospect-Lefferts Gardens,40.65627,-73.95936,Private room,50,3,50,98,0.92,3,,6/20/2019
2839,Cozy and Sunny Room Queen Size Bed in Bedstuy,8671974,Laure,Brooklyn,Bedford-Stuyvesant,40.68919,-73.9335,Private room,60,2,1,365,0.04,1,,9/2/2017
2840,AG's Palace 1,121612198,Maura,Brooklyn,Ca0rsie,40.6427,-73.91266,Private room,69,1,20,305,0.78,4,,10/15/2018
2841,"CLOSE TRAIN,  30JFK 40LG, 1or2People. closeManhatt",224048389,David,Brooklyn,Sunset Park,40.64198,-74.01809,Private room,48,3,2,0,0.25,1,,11/15/2018
2842,HUGE Beautiful Brooklyn Loft,1135032,Kelsey,Brooklyn,Red Hook,40.68062,-74.00722,Private room,55,2,1,5,0.43,1,,5/1/2019
2843,Private Room in Luxury BK Apartment,156958091,Mayda,Brooklyn,Bushwick,40.69319,-73.90692,Private room,40,1,35,0,2.92,3,,5/29/2019
2844,Light filled Cosy room is Brooklyn,75748625,Kosha,Brooklyn,Bedford-Stuyvesant,40.69028,-73.95195,Private room,45,1,2,0,0.12,1,,2/26/2018
2845,Midwood townhouse,163843832,David,Brooklyn,Midwood,40.6155,-73.9522,Private room,58,2,12,36,0.87,1,,5/27/2019
2846,Sublet near Columbia University,16948705,Berhani,Manhattan,Harlem,40.81742,-73.95358,Private room,22,10,3,0,0.05,1,,8/8/2015
2847,Brooklyn Home On The Beach,15356710,Maxim,Brooklyn,Brighton Beach,40.57536,-73.96523,Private room,40,31,1,342,0.23,1,,3/2/2019
2848,Cozy and warm private room,120974332,Jessi,Manhattan,East Harlem,40.79568,-73.93368,Private room,50,2,6,5,1.1,2,,6/18/2019
2849,Luxury house 皇后区豪华园林式独立别墅适合家庭出游理想住宿自由畅享私家空间,16507770,Jinfei,Queens,Briarwood,40.71016,-73.81118,Private room,60,2,9,171,0.74,3,,5/27/2019
2850,Bushwick Chill Spot (Luxury Rental),65092392,Jed,Brooklyn,Bushwick,40.69912,-73.93508,Private room,65,3,72,179,2.26,1,,6/30/2019
2851,Modern & Cozy Room in Elegant Apt in Astoria,27951037,Kirsten,Queens,Ditmars Steinway,40.77664,-73.90896,Private room,65,30,79,0,2.55,2,,4/7/2019
2852,Cosy room in a cool Williamsburg Apt,72593389,Jeremy,Brooklyn,Williamsburg,40.71353,-73.96216,Private room,60,2,1,0,0.05,1,,1/3/2018
2853,Location Dali ( rail road room ) only girls.,3250450,Petya,Queens,Long Island City,40.75547,-73.91867,Private room,37,15,12,361,0.26,18,,6/12/2019
2854,*PRIME MANHATTAN*one block to 5 trains*ROOFDECK!*,2685943,Sara,Manhattan,Harlem,40.8249,-73.94585,Private room,60,1,30,67,5.56,1,,6/23/2019
2855,"Sunny, Spacious Brooklyn Room 1 Block From Train!",63943922,Maxwell,Brooklyn,Bushwick,40.68705,-73.91425,Private room,35,3,4,0,0.24,1,,7/1/2018
2856,Sala star sofacama amplio cerca al Aeropuerto.,202350344,Dia0 Caroli0,Queens,East Elmhurst,40.76109,-73.88898,Private room,40,2,32,236,2.86,2,,7/6/2019
2857,Williamsburg Apartment by L Train,33588156,George,Brooklyn,Williamsburg,40.71671,-73.94069,Private room,53,7,0,0,0,1,,0
2858,Bedroom in Bushwick,7364894,Mac,Brooklyn,Bushwick,40.70128,-73.9253,Private room,40,7,0,0,0,1,,0
2859,"【Brooklyn N, R地铁口 45街阳光主卧7月短租】限女生,Only girls",122963021,莹,Brooklyn,Sunset Park,40.65012,-74.00867,Private room,30,7,0,190,0,1,,0
2860,Light filled room w/full size bed in LES,24052348,Tara,Manhattan,East Village,40.72052,-73.98003,Shared room,65,10,21,0,0.38,4,,12/30/2017
2861,~House of Rest~Private Entrance in Bushwick BK,427019,Oh,Brooklyn,Williamsburg,40.70591,-73.92916,Private room,66,2,48,5,2.6,2,,6/18/2019
2862,HABITACION PRIVADA PARA TI EN NYC.. PRIVATE ROOM,115734913,0hi,Bronx,Fordham,40.85791,-73.89528,Private room,39,2,24,211,2.73,1,,6/22/2019
2863,Awesome Oasis! 3 stops Away from Manhattan!!!,134428157,Johny,Brooklyn,Bedford-Stuyvesant,40.68602,-73.94368,Private room,50,5,1,0,0.06,7,,1/17/2018
2864,"Super Sunny, Massive East Village Getaway",238779678,Dustin,Manhattan,East Village,40.72689,-73.98906,Private room,69,30,0,310,0,9,,0
2865,Bedroom in Williamsburg Available!,51434460,DJ Timothy,Brooklyn,Williamsburg,40.70998,-73.95956,Private room,60,1,0,0,0,1,,0
2866,Ladies Dorm Shared Room (Single Twin Bed),3294438,Torell,Brooklyn,Bedford-Stuyvesant,40.6853,-73.95758,Shared room,45,2,10,311,0.29,3,,10/27/2017
2867,***Come Stay in Comfort while you Experience NYC**,151940941,Nelson Antonio,Manhattan,Washington Heights,40.85117,-73.94344,Private room,55,3,66,251,3.05,1,,6/23/2019
2868,Wonderful Charming Apt- Columbia University Area,40741349,Mitsue,Manhattan,Washington Heights,40.83705,-73.94083,Private room,60,1,3,341,0.21,1,,7/1/2018
2869,Bed-Stuy BKNY FREEWasher/Dryer,1283476,Mark,Brooklyn,Bedford-Stuyvesant,40.68578,-73.94409,Private room,50,15,4,0,0.09,2,,4/29/2017
2870,Affordable room in a friendly house,24643923,Toby,Manhattan,Harlem,40.80882,-73.94165,Private room,35,20,2,0,0.04,1,,1/10/2015
2871,Cool and cozy room in the Heights,45471621,Sean,Manhattan,Washington Heights,40.85041,-73.92645,Private room,50,3,122,199,2.68,1,,6/28/2019
2872,One stop away manhattan #2,91605357,Ti0,Brooklyn,Williamsburg,40.70738,-73.95569,Private room,60,2,26,21,6.5,2,,6/29/2019
2873,Furnished room for girl in Astoria-15mins to city,194571019,Michaela,Queens,Astoria,40.76371,-73.91784,Private room,36,2,3,4,1.96,1,,6/9/2019
2874,"1 private bdrm in Times Sq NYC, luxury building",4430657,Claudia,Manhattan,Hell's Kitchen,40.75842,-73.99276,Private room,60,2,0,0,0,1,,0
2875,"Manhattan-very close to everywhere
muy cercadetodo",71886811,W. Alvaro,Manhattan,Morningside Heights,40.81441,-73.9589,Private room,67,6,22,90,0.59,3,,4/27/2019
2876,Quiet Cottage with Private Yard,15264295,Toby,Queens,Maspeth,40.73973,-73.90731,Private room,60,1,0,0,0,1,,0
2877,"Bright Private room, perfect for fashion week!",24639450,Sean,Queens,Ridgewood,40.6988,-73.90725,Private room,55,2,0,0,0,1,,0
2878,Large Bedroom in 2 Bed Apartment Brighton Beach,119523037,An0,Brooklyn,Brighton Beach,40.58092,-73.96139,Private room,57,1,1,4,0.17,4,,1/16/2019
2879,Cozy room in friendly Bed-Stuy apartment,17631089,Kathari0,Brooklyn,Bedford-Stuyvesant,40.68437,-73.93518,Private room,45,6,2,0,0.15,1,,10/15/2018
2880,Brooklyn cute corner-unit modern apartment!,68822704,Stefanie,Brooklyn,Bedford-Stuyvesant,40.68345,-73.95078,Entire home/apt,60,4,1,0,0.05,1,,1/2/2018
2881,Cool Out/Private large ensuite nearJFK sleeps 4,94713722,Joy,Queens,Springfield Gardens,40.68857,-73.75488,Private room,50,2,23,348,1.4,4,,6/17/2019
2882,Respectful  guest for long term is required,82975282,Evyiatar,Queens,Bayswater,40.6004,-73.7667,Private room,47,30,8,303,0.38,2,,6/30/2019
2883,Bright Brooklyn Room in Shared Apt!,969279,Travis,Brooklyn,Bushwick,40.69731,-73.92417,Private room,69,2,98,20,1.36,1,,6/16/2019
2884,Great room for couples on a budget!,34124276,Nicole,Queens,Long Island City,40.75235,-73.93714,Private room,52,1,4,0,0.08,1,,7/28/2016
2885,The perfect nightlife spot,22282829,Kyle,Manhattan,East Village,40.72686,-73.98743,Private room,69,5,10,0,0.28,1,,10/8/2017
2886,Couch in E. Williamsburg Luxury Apt,1910452,Thuy,Brooklyn,Williamsburg,40.70586,-73.94135,Shared room,60,1,0,0,0,2,,0
2887,"HUGE mid-century modern, sunny flat w/ amazing cat",2293050,Nick,Brooklyn,Crown Heights,40.67652,-73.9614,Private room,61,2,167,320,4.16,1,,7/3/2019
2888,Private RM in 3 bedroom brownstone in Bedstuy,48757168,Eva,Brooklyn,Bedford-Stuyvesant,40.6869,-73.95496,Private room,34,5,34,7,0.77,1,,1/14/2019
2889,"comfortable, clean, sweet, conveniently located",41471153,Ri0,Queens,Long Island City,40.7646,-73.93085,Private room,58,2,0,133,0,1,,0
2890,Large Bedstuy/Bushwick Room,50144624,Christian,Brooklyn,Bedford-Stuyvesant,40.69444,-73.93746,Private room,47,2,2,0,0.05,1,,6/10/2016
2891,Private Bedroom in Prime Bay Ridge Close to Subway,22565253,Yinny,Brooklyn,Fort Hamilton,40.61819,-74.03047,Private room,30,3,23,211,0.66,4,,5/27/2019
2892,BSM2. Shares basement,215588687,Levi,Brooklyn,Prospect-Lefferts Gardens,40.66192,-73.94668,Shared room,25,2,1,365,0.13,6,,11/27/2018
2893,Comfy and Smart on Prospect Park,4375988,Keturah,Brooklyn,Prospect-Lefferts Gardens,40.66079,-73.95693,Private room,50,3,47,76,0.84,3,,3/31/2019
2894,Here comes the sun!,1831760,Vishnu,Brooklyn,Gowanus,40.68334,-73.9847,Private room,64,7,1,0,0.02,1,,10/3/2015
2895,Private room walking distance from Prospect park,30555297,Jolanta,Brooklyn,Flatbush,40.65306,-73.95507,Private room,64,7,17,0,0.72,1,,11/5/2018
2896,Manhattan view in Bushwick,80897490,Steven,Brooklyn,Bedford-Stuyvesant,40.69099,-73.92657,Private room,50,1,1,0,0.04,1,,9/7/2017
2897,Cozy Bedroom,21408053,Tory,Manhattan,Harlem,40.82323,-73.9467,Private room,51,2,9,0,0.25,1,,9/9/2016
2898,Gorgeous BK Apt steps from Barcalys,19698371,Ben,Brooklyn,Gowanus,40.68068,-73.98186,Entire home/apt,63,5,2,0,0.05,1,,1/4/2019
2899,Spacious private bedroom in Brooklyn New York,4143813,Yu,Brooklyn,Bushwick,40.70162,-73.91297,Private room,53,5,1,0,0.05,1,,1/2/2018
2900,Charming mezzanine bedroom near Prospect Park,179778880,Marcus,Brooklyn,Sunset Park,40.66179,-73.99062,Private room,45,2,37,308,2.61,2,,5/18/2019
2901,1 Bed in the Living Room Shared Stay for Male,172369331,Abby,Brooklyn,Coney Island,40.57607,-73.9833,Shared room,25,5,1,129,0.75,10,,5/31/2019
2902,Lovely room with a view.,82562435,Josephine,Queens,Arverne,40.58938,-73.79447,Private room,48,1,62,3,2.35,2,,4/12/2019
2903,A Peaceful getaway for individuals or couples.,182121197,Katherine,Bronx,Kingsbridge,40.86493,-73.90315,Private room,69,2,2,86,2,1,,6/23/2019
2904,Astoria Centrally located!,183211776,Rafael,Queens,Astoria,40.76531,-73.91126,Private room,39,1,11,62,0.77,4,,12/26/2018
2905,Provincial welcomes the new in revitalized Bklyn,310296,Jaqui And Mark,Brooklyn,Prospect-Lefferts Gardens,40.66376,-73.94643,Private room,35,1,45,52,2.42,2,,6/23/2019
2906,Park Slope Bedroom,12154854,Ryan,Brooklyn,Gowanus,40.67092,-73.98997,Private room,35,1,0,0,0,1,,0
2907,Luxury April Sublet in Manhattan NY,53930780,Thomas,Manhattan,Harlem,40.80422,-73.95495,Private room,45,1,1,0,0.03,1,,4/6/2016
2908,bedroom in front of prospect park  w/2 queens beds,3033622,Jose,Brooklyn,Windsor Terrace,40.65193,-73.97301,Private room,60,2,206,86,2.49,2,,6/15/2019
2909,Compact Comfy Cute Private room in Brooklyn Ctown,201403610,青明,Brooklyn,Sunset Park,40.64165,-74.00922,Private room,39,2,6,224,0.53,5,,4/1/2019
2910,Happy big family,4044499,Alexander,Brooklyn,Flatbush,40.65287,-73.96353,Private room,30,1,0,0,0,1,,0
2911,#ERROR!,256877591,Mike,Manhattan,Harlem,40.81376,-73.9525,Private room,59,25,0,1,0,1,,0
2912,Cozy Bedroom in Large Apartment,18511357,Meagan,Queens,Ditmars Steinway,40.77272,-73.90757,Private room,60,7,1,0,0.04,1,,7/1/2017
2913,Private Brownstone  Basement Studio Seaso0l Space,134946389,Giovanni,Brooklyn,Bedford-Stuyvesant,40.68623,-73.93807,Entire home/apt,50,2,46,70,2.23,5,,7/1/2019
2914,"Lovely Private Bedroom in Vibrant Bronx, NY",12446529,Migdalia,Bronx,Soundview,40.82528,-73.86004,Private room,50,2,32,156,0.51,2,,4/7/2019
2915,Garden Overlook,72318418,Francisca,Brooklyn,Crown Heights,40.67002,-73.92054,Private room,69,2,132,365,3.46,3,,6/24/2019
2916,Private room in gated community: walk to ferry!,97328229,Jaime,Bronx,Clason Point,40.80771,-73.85204,Private room,46,2,3,179,1.13,1,,6/30/2019
2917,Cozy Room in East Harlem,49673620,Vanessa,Manhattan,East Harlem,40.79651,-73.93184,Private room,60,3,10,0,0.23,1,,1/2/2019
2918,Renovated Private Room in Ridgewood Coliving Space,133802988,Sergii,Queens,Ridgewood,40.70507,-73.90195,Shared room,55,30,2,365,0.1,6,,10/28/2018
2919,Bronx room near mall,66807235,Dexter,Bronx,Melrose,40.82251,-73.91125,Private room,60,3,0,90,0,1,,0
2920,Cozy Charming Room in South Slope 1 Min to METRO,51913277,Andrada And Alex,Brooklyn,Sunset Park,40.66182,-73.99805,Private room,45,2,13,37,4.59,1,,7/3/2019
2921,"Cozy, sunny bedroom in Bed-Stuy",23196609,Emma,Brooklyn,Bedford-Stuyvesant,40.69341,-73.94177,Private room,40,2,8,14,1.76,2,,6/9/2019
2922,Huge Room with View in Bushwick!,8071900,Jordan,Brooklyn,Bushwick,40.70121,-73.91883,Private room,47,5,21,56,0.36,1,,11/30/2018
2923,Relaxing bedroom in 6br apartment,36029533,John,Brooklyn,Bushwick,40.69034,-73.91666,Private room,35,1,1,0,0.02,1,,7/28/2015
2924,"Brooklynite Room, 10 mins to Williamsburg/LES/City",1678704,Roberto,Brooklyn,Bedford-Stuyvesant,40.69251,-73.9301,Private room,35,1,5,59,0.46,3,,9/1/2018
2925,Private Studio near LaGuardia Airport and Mahattan,80933709,Jacqueline,Queens,East Elmhurst,40.76533,-73.87873,Private room,54,3,27,35,2.83,2,,6/10/2019
2926,SUNNY BEDROOM IN LARGE BK APT!,9123131,Sean,Brooklyn,Crown Heights,40.67068,-73.94084,Private room,44,3,32,0,0.83,2,,6/3/2019
2927,"Cozy private room in 2 Bedroom, BK",5289072,Mark,Brooklyn,Prospect Heights,40.67501,-73.96651,Private room,64,2,35,329,0.46,1,,2/3/2019
2928,"❤️ 2 Beds Option + Private Bath, Sunshine Bushwick",4601412,Mia,Brooklyn,Bushwick,40.6922,-73.92399,Private room,60,2,226,164,3.42,2,,6/30/2019
2929,Calm and cozy bedstuy room,72926334,Iquane,Brooklyn,Bedford-Stuyvesant,40.6844,-73.93138,Private room,27,1,68,112,2.88,3,,6/16/2019
2930,"MARTIAL LOFT 3: REDEMPTION (upstairs, 1st room)",15787004,Martial Loft,Brooklyn,Bushwick,40.69467,-73.923,Private room,59,3,11,0,0.46,5,,6/22/2019
2931,Big and Bright Room in South Bronx Artist Home!,9975046,Karah,Bronx,Longwood,40.81835,-73.91465,Private room,65,3,0,0,0,1,,0
2932,Modern Vibrant Large Cozy Bedroom* 正面能量,8826175,Grover,Bronx,Concourse,40.82122,-73.92773,Private room,56,2,132,52,2.61,3,,6/26/2019
2933,"Large Room w Private Backyard, 20 mins to City",9193762,Han0h,Brooklyn,Bushwick,40.69702,-73.93269,Private room,43,1,1,0,0.03,1,,11/29/2016
2934,cosy room with all confort,51329030,Zakaria,Bronx,Longwood,40.82716,-73.89911,Private room,30,1,11,0,0.3,1,,11/18/2016
2935,Spacious bedroom,1635983,Sheila,Bronx,Schuylerville,40.83248,-73.83203,Private room,46,4,43,135,1.65,3,,7/6/2019
2936,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,3684360,Enrique,Bronx,Allerton,40.8584,-73.86969,Entire home/apt,49,2,189,238,2.32,4,,6/23/2019
2937,Sunny Room in Clinton Hill Brooklyn,11935009,Brandon,Brooklyn,Clinton Hill,40.68118,-73.96126,Private room,60,2,15,0,0.5,1,,6/29/2018
2938,Furnished room + full amenities,25104068,Michael,Brooklyn,Crown Heights,40.66938,-73.95722,Private room,50,2,24,47,1.79,1,,6/22/2019
2939,"SALE- 2 BEDS, IN PRIVATE BEDROOM NEAR MANHATTAN!",8452639,C S,Brooklyn,Flatbush,40.64717,-73.96189,Private room,69,1,64,362,0.96,3,,6/15/2019
